epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,51.6233,1.97063,2.41685,2.56705,2.23552,0.17382,0.19118,0.07111,0.02169,0.10537,0.14706,0.0376,0.01131,3.15082,5.4252,2.57566,2.65976,0.0670784,0.000265497,0.000265497
2,112.545,1.92571,1.88002,1.61325,2.21789,0.00303,0.23529,0.00144,0.00058,0.0033,0.22059,0.00156,0.00095,3.26999,3.89736,183.237,2.61531,0.0340116,0.000532034,0.000532034
3,168.313,1.9886,1.89158,1.63961,2.36546,0.14155,0.19118,0.10194,0.03043,0.17639,0.36765,0.14842,0.0595,3.1907,1.65399,4.88695,2.92725,0.000944249,0.00079805,0.00079805
4,225.508,1.82991,1.86281,1.6307,2.24612,0.56888,0.57353,0.56009,0.21513,0.56888,0.57353,0.5735,0.35343,2.07261,1.20827,3.67111,2.03182,0.000798243,0.000798243,0.000798243
5,283.468,1.79122,2.04079,1.59448,2.21575,0.33831,0.34592,0.18733,0.04606,0.24235,0.36765,0.17265,0.05673,2.99025,2.79453,2.05743,2.54002,0.000796877,0.000796877,0.000796877
6,337.468,1.74874,1.85638,1.46832,2.17951,0.46064,0.35294,0.23037,0.0598,0.52284,0.47059,0.37525,0.14135,3.02229,1.17187,2.38625,3.36651,0.000795125,0.000795125,0.000795125
7,392.471,1.6726,1.79326,1.3626,2.1498,0.27092,0.61765,0.26626,0.13786,0.30719,0.52941,0.2827,0.18989,1.82694,1.13916,4.74864,1.79125,0.000792986,0.000792986,0.000792986
8,445.996,1.5582,1.64447,1.30418,1.97764,0.87743,0.73693,0.80788,0.46502,0.8783,0.74296,0.81519,0.60496,1.63919,1.07149,1.31406,1.72211,0.000790463,0.000790463,0.000790463
9,503.959,1.50399,1.72103,1.22952,1.96152,0.79193,0.75,0.78122,0.3675,0.79847,0.7575,0.81704,0.50429,1.98448,1.30597,1.35826,2.01626,0.000787559,0.000787559,0.000787559
10,557.809,1.39764,1.52584,1.16367,1.88439,0.9688,0.69118,0.82624,0.4501,0.94207,0.71748,0.84012,0.58821,1.73541,1.08477,1.21413,1.93877,0.000784276,0.000784276,0.000784276
11,613.014,1.38262,1.62031,1.13408,1.85585,0.86002,0.8132,0.847,0.54077,0.86002,0.8132,0.85046,0.6515,1.52751,1.23349,1.19334,1.55371,0.000780618,0.000780618,0.000780618
12,671.838,1.38477,1.63249,1.13369,1.89873,0.93972,0.73529,0.85279,0.52875,0.95198,0.75,0.86964,0.64028,1.56032,0.9461,1.04286,1.65293,0.000776589,0.000776589,0.000776589
13,726.409,1.28524,1.52015,1.04421,1.76939,0.86727,0.75,0.83574,0.50009,0.8764,0.76471,0.85658,0.62858,1.55589,1.00128,1.34822,1.5953,0.000772191,0.000772191,0.000772191
14,780.508,1.22979,1.48631,0.99834,1.71283,0.93736,0.75,0.86831,0.55934,0.93736,0.75,0.87334,0.6891,1.43925,1.07209,0.94705,1.46203,0.000767431,0.000767431,0.000767431
15,839.235,1.19125,1.33673,0.94404,1.64466,0.86872,0.75,0.83922,0.54958,0.88576,0.76471,0.86562,0.67687,1.4587,1.01024,1.04243,1.5079,0.000762312,0.000762312,0.000762312
16,893.722,1.21668,1.44582,1.05218,1.68976,0.84854,0.80882,0.84861,0.59139,0.84854,0.80882,0.86318,0.70669,1.34285,0.91416,1.07497,1.45018,0.000756839,0.000756839,0.000756839
17,952.27,1.14054,1.36366,0.97582,1.6026,0.8499,0.82353,0.88167,0.62243,0.8499,0.82353,0.88933,0.71793,1.2788,0.9059,0.92905,1.31288,0.000751017,0.000751017,0.000751017
18,1009.18,1.20808,1.49006,0.99218,1.67866,0.81801,0.79324,0.85373,0.57223,0.83318,0.80794,0.87613,0.67413,1.33511,0.91517,0.98312,1.46466,0.000744854,0.000744854,0.000744854
19,1064.14,1.19972,1.3648,0.99066,1.60202,0.828,0.75,0.81474,0.53264,0.828,0.75,0.81883,0.65839,1.34797,1.01369,1.07934,1.33983,0.000738354,0.000738354,0.000738354
20,1118.08,1.11375,1.41303,0.9592,1.59176,0.85718,0.79438,0.84342,0.58185,0.87299,0.80865,0.85554,0.68975,1.26733,1.05727,0.95411,1.28306,0.000731524,0.000731524,0.000731524
21,1173.05,1.1211,1.4077,1.01376,1.60245,0.86455,0.73529,0.82756,0.56158,0.86566,0.75814,0.83704,0.66317,1.37105,1.00886,1.01682,1.4004,0.000724371,0.000724371,0.000724371
22,1229.96,1.04015,1.26555,0.92566,1.51019,0.91369,0.77841,0.8511,0.60251,0.9157,0.79873,0.86484,0.68565,1.26092,0.98992,0.94462,1.25741,0.000716901,0.000716901,0.000716901
23,1284.86,1.01662,1.20227,0.89097,1.4838,0.91299,0.72059,0.85165,0.62328,0.91858,0.72059,0.86395,0.71822,1.17844,0.9372,0.90534,1.09056,0.000709123,0.000709123,0.000709123
24,1338.41,1.0489,1.3288,0.92825,1.45532,0.86093,0.81939,0.8402,0.60886,0.87019,0.82353,0.86063,0.71025,1.19618,1.00444,0.9954,1.15948,0.000701044,0.000701044,0.000701044
25,1392.85,1.02109,1.22481,0.92264,1.43559,0.87224,0.79412,0.88747,0.6507,0.87224,0.79412,0.89765,0.74574,1.20876,0.90496,0.88609,1.19717,0.000692672,0.000692672,0.000692672
26,1450.12,1.0481,1.25064,0.87614,1.4809,0.88365,0.78185,0.87056,0.63018,0.88365,0.78185,0.8807,0.73344,1.2309,0.93393,0.89086,1.14572,0.000684014,0.000684014,0.000684014
27,1504.76,0.96174,1.2577,0.79603,1.41947,0.87031,0.78954,0.85122,0.63544,0.87031,0.78954,0.85252,0.69872,1.18109,0.93202,0.86843,1.11229,0.000675081,0.000675081,0.000675081
28,1558.52,0.98184,1.13735,0.78733,1.43626,0.88991,0.83215,0.90233,0.60355,0.89121,0.84337,0.90411,0.71772,1.23458,0.78826,0.85889,1.35012,0.000665879,0.000665879,0.000665879
29,1612.97,1.00501,1.33215,0.8556,1.4636,0.85172,0.83824,0.88134,0.62083,0.85172,0.83824,0.88238,0.69151,1.22881,0.97206,0.83214,1.21081,0.00065642,0.00065642,0.00065642
30,1666.84,0.9655,1.2637,0.80721,1.38509,0.84114,0.86765,0.88787,0.63708,0.84114,0.86765,0.88991,0.72612,1.22625,0.83562,0.79553,1.22456,0.000646711,0.000646711,0.000646711
31,1721.66,0.97944,1.27885,0.80556,1.42549,0.87293,0.80823,0.87957,0.63185,0.88882,0.82294,0.88646,0.71443,1.20299,0.92806,0.83263,1.16108,0.000636763,0.000636763,0.000636763
32,1778.74,0.99304,1.14217,0.82051,1.37146,0.9136,0.83824,0.90227,0.61924,0.9136,0.83824,0.9039,0.70249,1.20091,0.97653,0.83162,1.22092,0.000626585,0.000626585,0.000626585
33,1833.8,0.92147,1.27956,0.7573,1.32577,0.92585,0.79412,0.87901,0.64725,0.93604,0.79412,0.89079,0.72838,1.12733,0.98828,0.79079,1.03139,0.000616187,0.000616187,0.000616187
34,1887.81,0.92008,1.19253,0.81409,1.35133,0.93193,0.8054,0.9071,0.67575,0.9423,0.80882,0.91402,0.75339,1.1274,0.87437,0.76088,1.03334,0.00060558,0.00060558,0.00060558
35,1945.78,0.93706,1.25825,0.78377,1.35232,0.90774,0.83824,0.91403,0.68,0.89182,0.82353,0.90696,0.71475,1.13197,0.91218,0.72302,1.11819,0.000594774,0.000594774,0.000594774
36,1999.33,0.89187,1.09359,0.71641,1.29127,0.94199,0.82353,0.92048,0.67506,0.92517,0.80882,0.91001,0.75947,1.12076,0.77794,0.83252,1.04463,0.00058378,0.00058378,0.00058378
37,2057.52,0.87721,1.03953,0.76298,1.30508,0.89419,0.86999,0.91733,0.67191,0.89419,0.86999,0.92107,0.73766,1.15328,0.8123,0.78696,1.0207,0.000572609,0.000572609,0.000572609
38,2110.84,0.90628,1.13104,0.74136,1.31176,0.88427,0.80882,0.85951,0.6453,0.90035,0.82353,0.88779,0.73923,1.05507,0.75986,0.80303,0.96472,0.000561271,0.000561271,0.000561271
39,2165.96,0.88446,0.98986,0.69964,1.3032,0.8764,0.83427,0.8831,0.65797,0.8764,0.83427,0.88404,0.73399,1.06672,0.82943,0.80202,1.06701,0.000549777,0.000549777,0.000549777
40,2219.86,0.86437,1.08223,0.72103,1.31914,0.82416,0.86765,0.87334,0.66021,0.82416,0.86765,0.89385,0.7502,1.09173,0.86156,0.7959,0.93579,0.00053814,0.00053814,0.00053814
41,2274.95,0.8668,1.03152,0.71335,1.27737,0.92858,0.85294,0.92798,0.68837,0.92858,0.85294,0.93003,0.76978,1.12157,0.80119,0.7491,0.99477,0.000526371,0.000526371,0.000526371
42,2334.51,0.85255,1.0153,0.69591,1.25777,0.96546,0.82225,0.92238,0.67459,0.96546,0.82225,0.92444,0.76564,1.09625,0.80985,0.76472,1.05712,0.00051448,0.00051448,0.00051448
43,2389.38,0.79835,1.05355,0.671,1.26243,0.94961,0.83143,0.92032,0.69931,0.94961,0.83143,0.91959,0.76956,1.07632,0.81899,0.7388,1.05867,0.000502481,0.000502481,0.000502481
44,2447.54,0.8144,1.06701,0.65727,1.25632,0.94399,0.80882,0.9139,0.71129,0.94399,0.80882,0.92274,0.76255,1.02825,0.78501,0.74164,0.96102,0.000490385,0.000490385,0.000490385
45,2505.41,0.81362,1.03959,0.69085,1.20337,0.96601,0.83602,0.9198,0.72424,0.96601,0.83602,0.92084,0.76298,0.94202,0.83515,0.72409,0.87175,0.000478203,0.000478203,0.000478203
46,2562.64,0.78813,1.00879,0.64891,1.19971,0.78912,0.91176,0.91334,0.69847,0.78912,0.91176,0.91566,0.76429,1.04337,0.84297,0.76355,0.95875,0.000465948,0.000465948,0.000465948
47,2617.37,0.832,0.97762,0.65178,1.20613,0.84454,0.89706,0.88387,0.68084,0.84454,0.89706,0.89503,0.73614,1.01433,0.80263,0.74856,0.92465,0.000453632,0.000453632,0.000453632
48,2672.82,0.81064,0.94343,0.65968,1.20891,0.91395,0.83824,0.90734,0.69846,0.91918,0.83626,0.91095,0.77233,1.02595,0.74029,0.73925,0.9331,0.000441267,0.000441267,0.000441267
49,2727.83,0.81671,0.99558,0.67815,1.20311,0.83259,0.87771,0.91699,0.70359,0.83259,0.87771,0.92568,0.77351,1.0042,0.76539,0.72804,0.89702,0.000428865,0.000428865,0.000428865
50,2782.45,0.77453,0.82432,0.62939,1.19107,0.89469,0.86765,0.91138,0.68868,0.91675,0.88235,0.92506,0.77824,1.01455,0.7957,0.68525,0.86312,0.000416439,0.000416439,0.000416439
51,2837.39,0.79699,0.96123,0.64963,1.19277,0.92237,0.83824,0.91931,0.708,0.93142,0.83824,0.92853,0.7687,1.08025,0.81007,0.71172,0.98218,0.000404,0.000404,0.000404
52,2896.12,0.7673,0.96133,0.59778,1.14045,0.96392,0.83824,0.92343,0.70946,0.94761,0.79799,0.92447,0.7543,1.03677,0.88242,0.67579,1.00994,0.000391561,0.000391561,0.000391561
