epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,33.2699,1.46567,2.5115,3.31658,1.8785,0.2565,0.2,0.12647,0.06982,0.29595,0.25226,0.15259,0.06532,2.19982,8.40026,2.82599,2.19688,0.0671646,0.000264802,0.000264802
2,76.8851,1.71037,2.59003,2.11832,2.0452,0.2634,0.38182,0.23243,0.0966,0.30902,0.49091,0.25622,0.15208,2.08616,2.02218,2.51445,2.12812,0.0340978,0.000531339,0.000531339
3,117.336,2.01729,2.66503,2.23657,2.30463,0.15959,0.12727,0.04805,0.01811,0.22331,0.10909,0.06993,0.03266,2.91228,3.84804,5.87772,3.6839,0.00103046,0.000797356,0.000797356
4,155.367,2.01199,2.70404,2.35357,2.33582,0.11321,0.32727,0.08439,0.02977,0.11674,0.32727,0.08676,0.03628,2.44044,3.11883,2.92916,2.8785,0.000798243,0.000798243,0.000798243
5,193.512,1.89878,2.43079,2.35282,2.25439,0.21104,0.16364,0.06839,0.02441,0.21104,0.16364,0.09324,0.0377,2.6943,2.87728,4.64257,3.10209,0.000796877,0.000796877,0.000796877
6,231.829,1.97892,2.54757,2.34252,2.31409,0.3969,0.18182,0.15552,0.04734,0.38552,0.32727,0.27306,0.09788,3.32917,3.05858,4.14733,3.7202,0.000795125,0.000795125,0.000795125
7,269.895,1.96852,2.51448,2.04602,2.31192,0.41648,0.34545,0.31628,0.11562,0.4384,0.36364,0.33662,0.13905,2.30607,3.02177,2.91539,2.21093,0.000792986,0.000792986,0.000792986
8,310.268,1.83603,2.18078,1.95986,2.11351,0.31292,0.32727,0.23772,0.12089,0.37416,0.4,0.31104,0.18653,2.08714,2.62903,4.87947,2.25874,0.000790463,0.000790463,0.000790463
9,350.801,1.61769,2.14809,1.7293,1.93902,0.49519,0.49946,0.45718,0.24472,0.558,0.56364,0.53657,0.3422,2.12244,1.86502,2.55676,2.10371,0.000787559,0.000787559,0.000787559
10,390.636,1.52569,2.12337,1.60713,1.91313,0.0054,0.21818,0.00231,0.0009,0.0064,0.25455,0.00287,0.00146,nan,nan,nan,nan,0.000784276,0.000784276,0.000784276
11,427.828,1.54847,2.10557,1.57562,1.88902,0.52084,0.43636,0.41896,0.17322,0.43635,0.47273,0.38871,0.17647,2.2285,3.70939,4.76963,1.98456,0.000780618,0.000780618,0.000780618
12,468.858,1.62235,2.12943,1.66296,1.96355,0.31209,0.63636,0.399,0.24815,0.38384,0.72727,0.47023,0.3039,1.78419,1.8457,2.06047,1.86303,0.000776589,0.000776589,0.000776589
13,505.728,1.41445,1.97663,1.43385,1.8167,0.48822,0.67273,0.52681,0.28932,0.4732,0.65455,0.53032,0.34961,1.67898,1.84602,1.88529,1.75962,0.000772191,0.000772191,0.000772191
14,546.17,1.46932,2.08461,1.56852,1.85309,0.44581,0.58507,0.41796,0.23551,0.47461,0.62419,0.45259,0.28206,1.86204,2.11521,1.80363,1.83742,0.000767431,0.000767431,0.000767431
15,583.254,1.48045,1.9754,1.45632,1.87806,0.45037,0.67273,0.52172,0.27992,0.53053,0.6,0.55211,0.38984,1.73854,1.89841,1.93148,1.78153,0.000762312,0.000762312,0.000762312
16,623.486,1.37609,1.79661,1.40504,1.79314,0.64591,0.70909,0.69047,0.36724,0.6238,0.7236,0.71092,0.51699,1.64087,1.40896,1.5945,1.68204,0.000756839,0.000756839,0.000756839
17,662.856,1.21563,1.64777,1.24041,1.63355,0.51367,0.6,0.55934,0.29941,0.53008,0.61818,0.58557,0.42287,1.65286,1.55086,2.35176,1.64953,0.000751017,0.000751017,0.000751017
18,700.584,1.23491,1.74097,1.33824,1.6881,0.56423,0.65923,0.59736,0.31707,0.58653,0.70909,0.62002,0.44563,1.63053,1.47919,2.05107,1.63854,0.000744854,0.000744854,0.000744854
19,737.634,1.26423,1.67771,1.31816,1.71187,0.61308,0.72727,0.64072,0.35425,0.64795,0.76364,0.69984,0.484,1.50573,1.56249,1.76887,1.53476,0.000738354,0.000738354,0.000738354
20,775.354,1.23511,1.63883,1.24695,1.65608,0.71458,0.59185,0.62561,0.35459,0.73455,0.60382,0.6619,0.44258,1.52459,1.49725,1.6286,1.50261,0.000731524,0.000731524,0.000731524
21,812.066,1.21813,1.68225,1.32158,1.69429,0.73104,0.61818,0.65287,0.39743,0.64288,0.69091,0.69577,0.48272,1.5219,1.60247,1.66492,1.52352,0.000724371,0.000724371,0.000724371
22,852.452,1.17073,1.51584,1.22019,1.65148,0.6591,0.58182,0.66207,0.42678,0.68231,0.6,0.70197,0.51021,1.3572,1.5287,1.58259,1.45527,0.000716901,0.000716901,0.000716901
23,892.342,1.12479,1.53659,1.11316,1.56994,0.6758,0.72019,0.68665,0.42185,0.6775,0.76393,0.71918,0.5425,1.42441,1.53539,1.37717,1.45168,0.000709123,0.000709123,0.000709123
24,933.477,1.15814,1.49597,1.15083,1.59033,0.57077,0.78182,0.67157,0.40735,0.58405,0.8,0.70995,0.52727,1.44106,1.41979,1.54728,1.47398,0.000701044,0.000701044,0.000701044
