epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,122.439,2.11122,3.67132,2.84062,2.46542,0.91667,0.16667,0.17164,0.09306,0.91667,0.16667,0.16793,0.10735,2.62522,3.52223,8.87208,2.45927,0.0669943,0.000266175,0.000266175
2,249.787,1.87299,3.13707,2.44247,2.32821,0.68927,0.32685,0.28611,0.14483,0.70124,0.325,0.27691,0.15258,2.27322,3.43477,2.43574,2.33582,0.0339275,0.000532711,0.000532711
3,374.614,1.84986,2.96407,2.29106,2.24973,0.25476,0.35213,0.2894,0.11773,0.25381,0.3461,0.2828,0.13833,2.05171,2.88188,2.22997,2.14665,0.000860228,0.000798727,0.000798727
4,497.152,1.72303,2.89803,2.1967,2.13696,0.50363,0.31519,0.34166,0.17371,0.5038,0.31775,0.3424,0.20937,1.89142,2.54265,2.16346,1.99248,0.000798243,0.000798243,0.000798243
5,621.753,1.64328,2.82738,2.14515,2.09921,0.67442,0.28794,0.31346,0.16984,0.67034,0.28426,0.3062,0.2071,1.75462,2.57093,2.34065,1.93292,0.000796877,0.000796877,0.000796877
6,744.272,1.55744,2.72307,2.06556,2.06137,0.78008,0.35146,0.31284,0.19119,0.79581,0.31944,0.30809,0.21028,1.7379,2.40534,2.1131,1.90314,0.000795125,0.000795125,0.000795125
7,869.114,1.54921,2.64509,1.98864,2.01554,0.8536,0.35991,0.38354,0.2286,0.85348,0.35922,0.37985,0.25078,1.73662,2.45943,1.88776,1.83433,0.000792986,0.000792986,0.000792986
8,993.637,1.48795,2.56327,1.96784,1.98229,0.84356,0.33721,0.37172,0.25846,0.84115,0.33536,0.36792,0.25345,1.57626,2.21443,1.85325,1.91588,0.000790463,0.000790463,0.000790463
9,1118.32,1.51565,2.60718,1.90804,1.97914,0.90167,0.33611,0.37957,0.24715,0.90351,0.33056,0.37431,0.25938,1.61165,2.22748,1.83056,1.7767,0.000787559,0.000787559,0.000787559
10,1240.54,1.44606,2.5384,1.83764,1.91993,0.58593,0.40629,0.3798,0.2141,0.58273,0.40463,0.37859,0.24827,1.57073,2.07407,1.7273,1.65212,0.000784276,0.000784276,0.000784276
11,1363.5,1.43034,2.57377,1.84261,1.89053,0.80388,0.33031,0.3732,0.23281,0.83999,0.30648,0.37137,0.26122,1.52139,2.18733,1.87119,1.6777,0.000780618,0.000780618,0.000780618
12,1487.96,1.40165,2.56047,1.79901,1.87519,0.87659,0.31204,0.36263,0.24655,0.87275,0.31019,0.35475,0.25042,1.53022,2.15076,1.81505,1.63458,0.000776589,0.000776589,0.000776589
13,1612.39,1.37336,2.42303,1.72132,1.82125,0.63417,0.44167,0.40346,0.28068,0.63076,0.43426,0.40027,0.2844,1.52856,2.27503,1.60852,1.64649,0.000772191,0.000772191,0.000772191
14,1741.25,1.33252,2.35914,1.67808,1.77459,0.84574,0.38688,0.43226,0.29918,0.84656,0.3713,0.4268,0.31274,1.46196,1.92878,1.5805,1.60766,0.000767431,0.000767431,0.000767431
15,1868.82,1.31954,2.36253,1.68374,1.76892,0.62101,0.43161,0.39572,0.24854,0.62015,0.43056,0.39679,0.271,1.52398,1.92587,1.81641,1.59992,0.000762312,0.000762312,0.000762312
16,1992.08,1.35763,2.5041,1.75032,1.81159,0.79789,0.3375,0.36639,0.24502,0.80116,0.33323,0.3645,0.25434,1.54103,2.1807,1.98401,1.74421,0.000756839,0.000756839,0.000756839
17,2118.98,1.28014,2.44364,1.66964,1.72019,0.56058,0.43981,0.40497,0.26925,0.55722,0.43611,0.39836,0.27191,1.45374,2.05466,1.51354,1.58284,0.000751017,0.000751017,0.000751017
18,2242.96,1.30554,2.33166,1.5953,1.71541,0.8604,0.36651,0.37856,0.27892,0.85401,0.36096,0.37381,0.26324,1.45787,2.06643,1.82363,1.66267,0.000744854,0.000744854,0.000744854
19,2374.53,1.25263,2.25212,1.60761,1.67274,0.58148,0.41759,0.3984,0.26452,0.58367,0.41944,0.39698,0.28675,1.44113,1.88092,1.52565,1.55065,0.000738354,0.000738354,0.000738354
20,2506.11,1.28028,2.29906,1.57809,1.69877,0.83298,0.36667,0.39287,0.26253,0.83197,0.36667,0.39233,0.27742,1.41191,1.94898,1.51848,1.50162,0.000731524,0.000731524,0.000731524
21,2638.36,1.23411,2.24984,1.5375,1.6656,0.32476,0.40563,0.43075,0.31842,0.3271,0.40749,0.42969,0.30275,1.3809,1.86109,1.57877,1.46556,0.000724371,0.000724371,0.000724371
